"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"540","LgYghvu6Vj4","Looks amazing!! Can’t wait to try it!! <U+0001F49C><U+0001F44C><U+0001F3FC>","Looks amazing!! Can’t wait to try it!! <U+0001F49C><U+0001F44C><U+0001F3FC>","Lila Ashley","https://yt3.ggpht.com/ytc/AAUvwnhsShBMDKwivlJ4vA4TPGLYuJdC_yIBRFyX3cO00Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCHRdPkPoeySu0tE1wmuAO-A","UCHRdPkPoeySu0tE1wmuAO-A","TRUE","none","1","2019-04-05T17:12:35Z","2019-04-05T17:12:35Z","UgyruVrEBXIWI8NW3Gh4AaABAg",NA,NA
"541","LgYghvu6Vj4","I love Crisp Tofu, that texture and taste is so unique and delicious. <U+0001F60B>","I love Crisp Tofu, that texture and taste is so unique and delicious. <U+0001F60B>","Healthy Recipe Channel","https://yt3.ggpht.com/ytc/AAUvwnhW8bUVqFgTqhMyLGzlEL9IfI94ebIVfnSy8_tvrg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCY4kthE2DicdZ9dSi88dDrg","UCY4kthE2DicdZ9dSi88dDrg","TRUE","none","20","2019-04-05T17:10:24Z","2019-04-05T17:10:24Z","UgzN1-g97-BJCklDwu14AaABAg",NA,NA
"542","LgYghvu6Vj4","Tofu has phytoestrogens that mimic estrogen in our bodies. <br />DO NOT EAT SOY PRODUCTS.","Tofu has phytoestrogens that mimic estrogen in our bodies. 
DO NOT EAT SOY PRODUCTS.","Ross Q Woke Soul Denver","https://yt3.ggpht.com/ytc/AAUvwniM-0B1Lx4mMpSY9myPXqAiAdByrEDwm-WCga34=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4EyH-4n382_b-5p2rBxbpw","UC4EyH-4n382_b-5p2rBxbpw","TRUE","none","1","2019-04-05T17:01:57Z","2019-04-05T17:01:57Z","UgywjG0AYWgT3wFXPdJ4AaABAg",NA,NA
"543","LgYghvu6Vj4","You are so beautiful!!<U+2764>","You are so beautiful!!<U+2764>","Shailja K","https://yt3.ggpht.com/ytc/AAUvwnjFuAIR77lcJOJntWKbvt4XnLew5epccFvdsEqUbw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCO4ij5n8B_2JTmQb_l_ouqw","UCO4ij5n8B_2JTmQb_l_ouqw","TRUE","none","1","2019-04-05T16:51:05Z","2019-04-05T16:51:05Z","Ugy6FrQTqoEucxXNce94AaABAg",NA,NA
"544","LgYghvu6Vj4","Mrs. Danny, you are one of a kind. Thanks for sharing!","Mrs. Danny, you are one of a kind. Thanks for sharing!","Jake Romero","https://yt3.ggpht.com/ytc/AAUvwnjVSjhBUZR-2bDwz-EZCWGDG5rz-_4AY5Iq7w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCdy3_gp1FcDGx37c5h39_jQ","UCdy3_gp1FcDGx37c5h39_jQ","TRUE","none","1","2019-04-05T16:46:26Z","2019-04-05T16:46:47Z","UgxV7HZN0d_I9Gcd-Nt4AaABAg",NA,NA
"545","LgYghvu6Vj4","Love your videos. I think we’ll try the first one.","Love your videos. I think we’ll try the first one.","Virginia Wimer","https://yt3.ggpht.com/ytc/AAUvwnjAg3q1JKLWCjlotJ-shf0r89W22nuJJ2lwrA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWDO9tA5Qfcgw4jTk1wKfqQ","UCWDO9tA5Qfcgw4jTk1wKfqQ","TRUE","none","1","2019-04-05T16:45:08Z","2019-04-05T16:45:08Z","UgxbqkeZ5vUGl_Pv0IJ4AaABAg",NA,NA
"546","LgYghvu6Vj4","<U+0001F60D><U+0001F60D> I will definitely try one of these this recipes","<U+0001F60D><U+0001F60D> I will definitely try one of these this recipes","Cindy Nero","https://yt3.ggpht.com/ytc/AAUvwnj-ml3BwziloHUZFUr-gc_H4Flo3uspOHViMw-xGYs=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJ8aAyTnzppMefaus96zdCA","UCJ8aAyTnzppMefaus96zdCA","TRUE","none","1","2019-04-05T16:39:34Z","2019-04-05T16:39:34Z","UgwXwhLqSYQeN_a7OHJ4AaABAg",NA,NA
"547","LgYghvu6Vj4","Goooooooood","Goooooooood","Hair Care Specialist","https://yt3.ggpht.com/ytc/AAUvwnj_t6yYQ0DtHx40cIH7VYvU7rmEU4rdgNd4923q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCut8Yex-71qy8azLjgRDHyw","UCut8Yex-71qy8azLjgRDHyw","TRUE","none","1","2019-04-05T16:35:35Z","2019-04-05T16:35:35Z","UgwMdtyPOkBJHv1gjA94AaABAg",NA,NA
"548","LgYghvu6Vj4","You’re absolutely incredible and amazing, Dani !!! I LOVE watching your videos, I would be so thrilled if you were able to get your own tv show on food network, besides using YouTube as a “tv show” platform!","You’re absolutely incredible and amazing, Dani !!! I LOVE watching your videos, I would be so thrilled if you were able to get your own tv show on food network, besides using YouTube as a “tv show” platform!","Jade Rene","https://yt3.ggpht.com/ytc/AAUvwniFPEq8r6R6NRd5CnxuHqDyyPi7cnfYJa6iU-D-q7s=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3BJPdnukNrFIQq54jPKTAA","UC3BJPdnukNrFIQq54jPKTAA","TRUE","none","1","2019-04-05T16:13:02Z","2019-04-05T16:13:02Z","UgzIEzTPMcHgN822v0t4AaABAg",NA,NA
"549","LgYghvu6Vj4","yay! that&#39;s exactly what I need :-) thanks for sharing","yay! that's exactly what I need :-) thanks for sharing","Sladana C","https://yt3.ggpht.com/ytc/AAUvwnje444mL6AyAHiuIzOifjygpSff_SeVCBwdVTj8Nrc=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2VYBihnHrsx4TVltbJpNIg","UC2VYBihnHrsx4TVltbJpNIg","TRUE","none","5","2019-04-05T16:10:20Z","2019-04-05T16:10:20Z","UgzhekdGFyXZHY0y9Lx4AaABAg",NA,NA
